"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"106932";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0933";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"175171";"Fahrrad";"Biketec";"Lidl-Look";"LIDL-BIKE";"";"";"14628";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"175767";"Fahrrad";"Biketec";"Lidl-Look";"LIDL-BIKE";"";"";"15224";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164212";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10718";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164217";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10723";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164223";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10729";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"117466";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7490";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"106953";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0954";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106954";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0955";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106963";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0964";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"108966";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"2967";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"110986";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"4987";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111007";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5008";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111055";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5056";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111069";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5070";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"108972";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"2973";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"109079";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3080";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"109083";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3084";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109086";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3087";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"163556";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10062";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"163558";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10064";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"163559";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10065";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"117544";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7568";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"111098";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5099";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"108929";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"2930";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"108931";"Fahrrad";"Biketec";"Pedelec";"Pedelec";"";"";"2932";"";"";"Kauf";"";"CAB 2.0";"Call a Bike";"Call a Bike"
"108935";"Fahrrad";"Biketec";"Pedelec";"Pedelec";"";"";"2936";"";"";"Kauf";"";"CAB 2.0";"Call a Bike";"Call a Bike"
"117460";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7484";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"165778";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12283";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164184";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10690";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164191";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10697";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"117486";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7510";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
