RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
47276,Standort,Europaallee / Den Haager Stra├¤e,6032700017,normal,Frankfurt am Main,Deutschland,"8,651459000000000","50,109058000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48109,Standort,Stiglmaierplatz,88006784,normal,M├╝nchen,Deutschland,"11,559166670000000","48,147500000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48166,Standort,Stiglmaierplatz,88007374,normal,M├╝nchen,Deutschland,"11,558611110000000","48,147500000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48246,Standort,Neumarkt,40027526,normal,K├Čln,Deutschland,"6,949098740200000","50,936182263000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48289,Standort,Heumarkt,40027817,normal,K├Čln,Deutschland,"6,960311677000000","50,937404351700000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48296,Standort,Bahnhof Haupt- Breslauer Platz,40027866,normal,K├Čln,Deutschland,"6,958322532500000","50,944693717400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48346,Standort,Mediapark,40028239,normal,K├Čln,Deutschland,"6,941715848700000","50,946346041800000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48374,Standort,The Coffee Store,40028451,normal,K├Čln,Deutschland,"6,952250420600000","50,939732973000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48557,Standort,Neumarkt,40018649,normal,K├Čln,Deutschland,"6,945614128900000","50,936644988500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48615,Standort,Rudolfplatz,40019130,normal,K├Čln,Deutschland,"6,940416419300000","50,936740996000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48676,Standort,Z├╝lpicher Platz/Friedrichstr.,40019581,normal,K├Čln,Deutschland,"6,940756614800000","50,931067207000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48703,Standort,Heumarkt,40019829,normal,K├Čln,Deutschland,"6,961071516800000","50,937238180500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48837,Standort,WDR,40020941,normal,K├Čln,Deutschland,"6,953908735100000","50,940176089800000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
48971,Standort,Bahnhof West,40021892,normal,K├Čln,Deutschland,"6,933412778200000","50,943317541800000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
49054,Standort,Hauptbahnhof,88000596,normal,M├╝nchen,Deutschland,"11,561388890000000","48,140277780000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
49149,Standort,Prinzregentenplatz,88001687,normal,M├╝nchen,Deutschland,"11,607222220000000","48,139166670000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
50264,Standort,Bahnhof West,40022605,normal,K├Čln,Deutschland,"6,934101841300000","50,944267676400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
50269,Standort,Rudolfplatz,40022653,normal,K├Čln,Deutschland,"6,940222632600000","50,935836980100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
